Countr,GBR,Unnamed: 0,ROU,Unnamed: 1,NED,Unnamed: 2,CAN,Unnamed: 3,,,,
Rank,1,,4,,2,,3,,,,,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,5.6,44.0,5.4,47.0,5.5,43.0,5.5,44.0,-,-,-,-
100,5.9,44.0,5.8,47.0,5.7,44.0,5.8,44.0,-,-,-,-
150,5.8,43.0,5.7,46.0,5.6,43.0,5.7,43.0,-,-,-,-
200,5.7,41.0,5.6,45.0,5.5,41.0,5.6,42.0,-,-,-,-
250,5.7,40.0,5.5,44.0,5.5,40.0,5.5,40.0,-,-,-,-
300,5.6,39.0,5.4,43.0,5.4,40.0,5.5,40.0,-,-,-,-
350,5.5,38.0,5.3,42.0,5.4,39.0,5.4,39.0,-,-,-,-
400,5.5,38.0,5.2,41.0,5.3,39.0,5.4,39.0,-,-,-,-
450,5.5,38.0,5.2,41.0,5.2,38.0,5.3,39.0,-,-,-,-
500,5.4,38.0,5.1,40.0,5.1,38.0,5.3,39.0,-,-,-,-
550,5.4,38.0,5.1,39.0,5.1,38.0,5.2,39.0,-,-,-,-
600,5.3,37.0,5.1,39.0,5.1,38.0,5.2,39.0,-,-,-,-
650,5.3,37.0,5.0,38.0,5.1,38.0,5.1,38.0,-,-,-,-
700,5.2,37.0,4.9,37.0,5.0,37.0,5.0,38.0,-,-,-,-
750,5.2,37.0,4.7,37.0,5.1,37.0,5.0,37.0,-,-,-,-
800,5.2,37.0,4.8,37.0,5.1,37.0,5.0,38.0,-,-,-,-
850,5.1,37.0,4.8,37.0,5.1,37.0,4.9,37.0,-,-,-,-
900,5.1,37.0,4.9,37.0,5.1,37.0,5.0,37.0,-,-,-,-
950,5.1,36.0,5.0,37.0,5.1,37.0,5.0,38.0,-,-,-,-
1000,5.0,36.0,5.0,37.0,5.1,37.0,5.0,37.0,-,-,-,-
1050,5.1,36.0,5.1,37.0,5.2,37.0,5.0,37.0,-,-,-,-
1100,5.2,36.0,5.0,37.0,5.1,37.0,5.0,37.0,-,-,-,-
1150,5.2,36.0,5.1,37.0,5.1,37.0,5.1,37.0,-,-,-,-
1200,5.0,36.0,5.1,37.0,5.1,37.0,5.0,37.0,-,-,-,-
1250,5.0,36.0,4.9,37.0,5.2,37.0,5.0,37.0,-,-,-,-
1300,5.0,36.0,4.9,36.0,5.2,37.0,4.9,37.0,-,-,-,-
1350,5.1,36.0,4.9,36.0,5.3,37.0,4.9,37.0,-,-,-,-
1400,5.1,36.0,4.9,36.0,5.2,37.0,4.9,36.0,-,-,-,-
1450,5.1,36.0,4.9,36.0,5.1,37.0,5.0,37.0,-,-,-,-
1500,5.1,36.0,4.9,36.0,5.1,37.0,5.0,37.0,-,-,-,-
1550,5.1,37.0,4.9,36.0,5.1,37.0,5.1,37.0,-,-,-,-
1600,5.2,37.0,4.9,36.0,5.2,38.0,5.2,37.0,-,-,-,-
1650,5.2,37.0,4.9,36.0,5.1,38.0,5.2,37.0,-,-,-,-
1700,5.1,37.0,5.1,37.0,5.1,37.0,5.2,37.0,-,-,-,-
1750,5.2,37.0,5.1,37.0,5.2,38.0,5.2,38.0,-,-,-,-
1800,5.2,37.0,5.1,37.0,5.2,38.0,5.2,38.0,-,-,-,-
1850,5.2,37.0,5.0,37.0,5.2,38.0,5.3,39.0,-,-,-,-
1900,5.2,37.0,4.9,37.0,5.3,39.0,5.3,39.0,-,-,-,-
1950,5.2,37.0,4.9,37.0,5.3,39.0,5.4,39.0,-,-,-,-
2000,5.0,35.0,4.9,36.0,5.2,39.0,5.3,39.0,-,-,-,-
