Country,ROU,Unnamed: 0,CAN,Unnamed: 1,NED,Unnamed: 2,GER,Unnamed: 3,ITA,Unnamed: 4,,
Rank,5,,4,,1,,2,,3,,,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,5.4,46.0,5.4,43.0,5.7,46.0,5.7,45.0,5.6,45.0,-,-
100,5.7,46.0,5.7,44.0,5.9,46.0,6.0,46.0,5.7,45.0,-,-
150,5.8,46.0,5.7,43.0,5.8,44.0,5.9,44.0,5.5,44.0,-,-
200,5.6,45.0,5.7,42.0,5.8,43.0,5.8,43.0,5.4,42.0,-,-
250,5.5,44.0,5.6,41.0,5.9,42.0,5.7,42.0,5.3,41.0,-,-
300,5.4,43.0,5.4,40.0,5.6,42.0,5.5,40.0,5.2,41.0,-,-
350,5.2,42.0,5.3,40.0,5.5,41.0,5.4,40.0,5.3,41.0,-,-
400,5.1,41.0,5.2,39.0,5.5,41.0,5.3,40.0,5.2,40.0,-,-
450,5.1,41.0,5.2,39.0,5.4,40.0,5.3,39.0,5.2,40.0,-,-
500,5.0,40.0,5.3,39.0,5.4,40.0,5.3,39.0,5.3,40.0,-,-
550,5.0,40.0,5.3,39.0,5.4,40.0,5.1,38.0,5.3,40.0,-,-
600,5.0,39.0,5.2,39.0,5.3,39.0,5.2,38.0,5.4,40.0,-,-
650,5.0,39.0,5.2,39.0,5.3,39.0,5.1,38.0,5.4,40.0,-,-
700,5.1,39.0,5.1,38.0,5.3,39.0,5.1,38.0,5.3,40.0,-,-
750,5.1,39.0,5.0,38.0,5.2,38.0,5.1,38.0,5.2,40.0,-,-
800,5.2,39.0,5.0,38.0,5.2,38.0,5.1,38.0,5.2,40.0,-,-
850,5.2,39.0,5.0,38.0,5.2,37.0,5.2,38.0,5.2,40.0,-,-
900,5.1,39.0,5.0,38.0,5.2,38.0,5.1,38.0,5.2,40.0,-,-
950,5.1,39.0,5.1,38.0,5.2,38.0,5.2,38.0,5.2,40.0,-,-
1000,5.1,39.0,5.1,38.0,5.2,38.0,5.3,39.0,5.3,40.0,-,-
1050,5.0,38.0,5.1,38.0,5.1,38.0,5.2,39.0,5.1,40.0,-,-
1100,5.0,38.0,5.0,38.0,5.0,37.0,5.1,38.0,5.1,40.0,-,-
1150,5.0,38.0,5.1,38.0,5.2,37.0,5.2,39.0,5.2,40.0,-,-
1200,4.9,38.0,5.1,38.0,5.1,37.0,5.1,39.0,5.1,39.0,-,-
1250,5.0,38.0,5.1,38.0,5.1,37.0,5.1,38.0,5.0,39.0,-,-
1300,5.0,38.0,5.1,38.0,5.0,37.0,5.1,38.0,5.1,39.0,-,-
1350,5.0,38.0,5.1,38.0,5.1,37.0,5.1,38.0,5.1,39.0,-,-
1400,4.9,37.0,5.0,38.0,5.1,37.0,5.1,39.0,5.1,39.0,-,-
1450,5.0,37.0,5.1,38.0,5.0,37.0,5.1,38.0,5.1,39.0,-,-
1500,4.9,37.0,5.1,38.0,5.0,37.0,5.0,38.0,5.1,39.0,-,-
1550,4.9,37.0,5.1,37.0,5.1,38.0,5.0,38.0,5.1,39.0,-,-
1600,4.9,37.0,5.0,37.0,5.1,38.0,5.1,39.0,5.1,39.0,-,-
1650,4.9,37.0,5.1,38.0,5.1,38.0,5.1,39.0,5.0,39.0,-,-
1700,4.9,37.0,5.1,38.0,5.0,38.0,5.1,40.0,5.0,39.0,-,-
1750,4.9,38.0,5.1,38.0,5.0,38.0,5.1,40.0,5.1,39.0,-,-
1800,4.9,38.0,5.1,38.0,5.0,38.0,5.1,40.0,5.1,39.0,-,-
1850,4.9,38.0,5.1,38.0,5.1,39.0,5.1,40.0,5.1,39.0,-,-
1900,4.9,38.0,5.1,38.0,5.1,39.0,5.2,41.0,5.2,40.0,-,-
1950,4.8,37.0,5.1,38.0,5.1,39.0,5.1,40.0,5.1,40.0,-,-
2000,4.7,37.0,5.2,38.0,5.1,39.0,5.1,40.0,5.1,39.0,-,-
