Country,ITA,Unnamed: 0,GER,Unnamed: 1,FRA,Unnamed: 2,CAN,Unnamed: 3,USA,Unnamed: 4,SRB,Unnamed: 5
Rank,1,,2,,4,,3,,5,,6,
Dist.,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke,Speed,Stroke
[m],[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm),[m/s],(spm)
50,6.1,46.0,5.9,44.0,6.1,51.0,-,-,5.8,50.0,5.9,46.0
100,6.3,46.0,6.1,44.0,6.4,49.0,-,-,5.9,48.0,5.9,42.0
150,6.1,44.0,6.1,43.0,6.2,47.0,-,-,6.0,46.0,5.8,41.0
200,6.0,43.0,6.0,42.0,5.9,44.0,-,-,5.7,43.0,5.5,40.0
250,5.9,43.0,5.9,41.0,5.8,43.0,-,-,5.7,43.0,5.6,40.0
300,5.9,42.0,5.8,41.0,5.8,42.0,-,-,5.7,42.0,5.5,39.0
350,5.8,41.0,5.8,40.0,5.7,41.0,-,-,5.5,41.0,5.3,39.0
400,5.8,41.0,5.9,40.0,5.7,41.0,-,-,5.6,41.0,5.3,38.0
450,5.8,40.0,5.8,39.0,5.6,40.0,-,-,5.5,40.0,5.3,38.0
500,5.7,40.0,5.6,39.0,5.5,40.0,-,-,5.5,40.0,5.3,38.0
550,5.6,40.0,5.6,39.0,5.4,39.0,-,-,5.4,40.0,5.2,37.0
600,5.6,40.0,5.7,38.0,5.4,39.0,-,-,5.5,39.0,5.2,37.0
650,5.6,40.0,5.6,38.0,5.3,38.0,-,-,5.5,39.0,5.3,37.0
700,5.6,40.0,5.6,38.0,5.3,38.0,-,-,5.5,38.0,5.3,37.0
750,5.6,39.0,5.6,37.0,5.2,38.0,-,-,5.5,39.0,5.4,37.0
800,5.6,39.0,5.5,37.0,5.4,38.0,-,-,5.4,38.0,5.3,37.0
850,5.6,39.0,5.6,37.0,5.4,38.0,-,-,5.4,38.0,5.3,37.0
900,5.6,39.0,5.6,37.0,5.4,38.0,-,-,5.5,38.0,5.3,37.0
950,5.6,39.0,5.6,37.0,5.4,38.0,-,-,5.4,38.0,5.0,36.0
1000,5.6,39.0,5.7,37.0,5.5,38.0,-,-,5.4,39.0,5.1,36.0
1050,5.5,40.0,5.7,37.0,5.4,38.0,-,-,5.4,38.0,5.0,36.0
1100,5.6,39.0,5.6,37.0,5.4,38.0,-,-,5.3,38.0,5.2,37.0
1150,5.6,39.0,5.6,37.0,5.5,37.0,-,-,5.4,38.0,5.0,36.0
1200,5.6,40.0,5.5,37.0,5.5,37.0,-,-,5.4,38.0,5.0,35.0
1250,5.6,39.0,5.5,36.0,5.4,37.0,-,-,5.4,38.0,5.1,36.0
1300,5.6,39.0,5.6,36.0,5.3,37.0,-,-,5.4,38.0,5.3,36.0
1350,5.6,39.0,5.6,36.0,5.4,37.0,-,-,5.4,38.0,5.2,36.0
1400,5.5,39.0,5.6,36.0,5.4,37.0,-,-,5.5,38.0,5.1,35.0
1450,5.6,39.0,5.6,37.0,5.3,37.0,-,-,5.4,38.0,5.1,35.0
1500,5.6,39.0,5.6,37.0,5.4,37.0,-,-,5.5,38.0,5.3,36.0
1550,5.6,39.0,5.6,36.0,5.5,37.0,-,-,5.5,38.0,5.1,36.0
1600,5.6,39.0,5.6,36.0,5.4,37.0,-,-,5.5,38.0,5.2,36.0
1650,5.5,39.0,5.6,36.0,5.4,37.0,-,-,5.5,38.0,5.2,36.0
1700,5.5,39.0,5.6,37.0,5.4,37.0,-,-,5.4,38.0,5.0,35.0
1750,5.5,39.0,5.6,36.0,5.5,37.0,-,-,5.4,38.0,4.6,34.0
1800,5.6,40.0,5.6,37.0,5.6,38.0,-,-,5.3,38.0,5.0,34.0
1850,5.7,40.0,5.8,38.0,5.7,39.0,-,-,5.3,38.0,5.1,36.0
1900,5.7,40.0,5.8,38.0,5.7,39.0,-,-,5.3,38.0,4.9,35.0
1950,5.6,40.0,5.7,39.0,5.6,39.0,-,-,5.2,38.0,5.0,35.0
2000,5.5,40.0,5.8,39.0,5.4,39.0,-,-,5.2,38.0,5.0,35.0
